           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
    1980.082646 [0000]  perf[14213]                         0.000      0.000      0.000 
    1980.082673 [0000]  migration/0[18]                     0.000      0.005      0.027 
    1980.082916 [0001]  perf[14213]                         0.000      0.000      0.000 
    1980.082935 [0001]  migration/1[21]                     0.000      0.004      0.019 
    1980.083173 [0002]  perf[14213]                         0.000      0.000      0.000 
    1980.083192 [0002]  migration/2[26]                     0.000      0.004      0.018 
    1980.083492 [0001]  <idle>                              0.000      0.000      0.556 
    1980.083595 [0003]  perf[14213]                         0.000      0.000      0.000 
    1980.084659 [0001]  sleep[14214]                        0.000      0.008      1.166 
    1980.084708 [0001]  <idle>                              1.166      0.000      0.049 
    1980.084715 [0001]  rcu_preempt[17]                     0.000      0.005      0.007 
    1980.087263 [0001]  <idle>                              0.007      0.000      2.547 
    1980.087278 [0001]  kubelet[1863/1862]                  0.000      0.003      0.015 
    1980.092693 [0001]  <idle>                              0.015      0.000      5.415 
    1980.092699 [0001]  rcu_preempt[17]                     7.977      0.006      0.005 
    1980.117330 [0003]  <idle>                              0.000      0.000     33.734 
    1980.117432 [0003]  gnome-shell[1240]                   0.000      0.007      0.101 
    1980.153145 [0001]  <idle>                              0.005      0.000     60.446 
    1980.153160 [0001]  kubelet[1866/1862]                  0.000      0.004      0.014 
    1980.154022 [0001]  <idle>                              0.014      0.000      0.862 
    1980.154028 [0001]  kubelet[1863/1862]                 66.743      0.003      0.006 
    1980.154210 [0001]  <idle>                              0.006      0.000      0.181 
    1980.154228 [0002]  <idle>                              0.000      0.000     71.036 
    1980.154241 [0002]  kubelet[1871/1862]                  0.000      0.008      0.013 
    1980.154270 [0001]  kubelet[1866/1862]                  1.050      0.003      0.060 
    1980.164082 [0001]  <idle>                              0.060      0.000      9.811 
    1980.164086 [0001]  kubelet[1863/1862]                 10.053      0.004      0.004 
    1980.177294 [0002]  <idle>                              0.013      0.000     23.052 
    1980.177301 [0002]  kubelet[1871/1862]                 23.052      0.005      0.006 
    1980.178154 [0001]  <idle>                              0.004      0.000     14.067 
    1980.178158 [0001]  kubelet[1863/1862]                 14.067      0.003      0.004 
    1980.178353 [0002]  <idle>                              0.006      0.000      1.051 
    1980.178364 [0001]  <idle>                              0.004      0.000      0.206 
    1980.178371 [0001]  kubelet[1866/1862]                 24.094      0.004      0.006 
    1980.178406 [0002]  kubelet[1871/1862]                  1.051      0.003      0.052 
    1980.188211 [0001]  <idle>                              0.006      0.000      9.840 
    1980.188216 [0001]  kubelet[1863/1862]                 10.053      0.003      0.004 
    1980.217530 [0003]  <idle>                              0.101      0.000    100.098 
    1980.217566 [0003]  gnome-shell[1240]                 100.098      0.006      0.035 
    1980.222424 [0001]  <idle>                              0.004      0.000     34.208 
    1980.222430 [0001]  kubelet[1866/1862]                 44.053      0.003      0.006 
    1980.223014 [0001]  <idle>                              0.006      0.000      0.583 
    1980.223018 [0001]  kubelet[1863/1862]                 34.798      0.003      0.004 
    1980.223483 [0001]  <idle>                              0.004      0.000      0.464 
    1980.223494 [0002]  <idle>                              0.052      0.000     45.088 
    1980.223498 [0001]  kubelet[1866/1862]                  1.052      0.003      0.014 
    1980.223500 [0002]  kubelet[1871/1862]                 45.088      0.005      0.005 
    1980.233071 [0001]  <idle>                              0.014      0.000      9.573 
    1980.233076 [0001]  kubelet[1863/1862]                 10.053      0.003      0.004 
    1980.253550 [0001]  <idle>                              0.004      0.000     20.473 
    1980.253556 [0001]  kubelet[1866/1862]                 30.052      0.003      0.005 
