           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
    1871.571458 [0000]  perf[13306]                         0.000      0.000      0.000 
    1871.571474 [0000]  migration/0[18]                     0.000      0.004      0.015 
    1871.571719 [0001]  perf[13306]                         0.000      0.000      0.000 
    1871.571733 [0001]  migration/1[21]                     0.000      0.004      0.014 
    1871.571969 [0002]  perf[13306]                         0.000      0.000      0.000 
    1871.571979 [0002]  migration/2[26]                     0.000      0.003      0.010 
    1871.572269 [0001]  <idle>                              0.000      0.000      0.535 
    1871.572377 [0003]  perf[13306]                         0.000      0.000      0.000 
    1871.572415 [0001]  perf-exec[13307]                    0.000      0.008      0.145 
    1871.574045 [0000]  <idle>                              0.000      0.000      2.571 
    1871.574061 [0001]  <idle>                              0.145      0.000      1.646 
    1871.574062 [0000]  kworker/0:1H-mm[5557]               0.000      0.005      0.016 
    1871.575147 [0001]  sleep[13307]                        1.646      0.008      1.085 
    1871.576694 [0000]  <idle>                              0.016      0.000      2.632 
    1871.576699 [0000]  kworker/0:1H-mm[5557]               2.632      0.007      0.005 
    1871.576702 [0001]  <idle>                              1.085      0.000      1.555 
    1871.576709 [0001]  rcu_preempt[17]                     0.000      0.008      0.006 
    1871.584688 [0001]  <idle>                              0.006      0.000      7.979 
    1871.584693 [0001]  rcu_preempt[17]                     7.979      0.006      0.004 
    1871.600024 [0001]  <idle>                              0.004      0.000     15.331 
    1871.600047 [0001]  kubelet[1877/1862]                  0.000      0.004      0.022 
    1871.600788 [0001]  <idle>                              0.022      0.000      0.740 
    1871.600796 [0001]  kubelet[1863/1862]                  0.000      0.005      0.008 
    1871.601095 [0001]  <idle>                              0.008      0.000      0.299 
    1871.601110 [0000]  <idle>                              0.005      0.000     24.410 
    1871.601124 [0000]  kubelet[1875/1862]                  0.000      0.006      0.014 
    1871.601160 [0001]  kubelet[1877/1862]                  1.048      0.003      0.065 
