           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
    2034.375805 [0000]  perf[14679]                         0.000      0.000      0.000 
    2034.375827 [0000]  migration/0[18]                     0.000      0.005      0.021 
    2034.376075 [0001]  perf[14679]                         0.000      0.000      0.000 
    2034.376092 [0001]  migration/1[21]                     0.000      0.004      0.016 
    2034.376329 [0002]  perf[14679]                         0.000      0.000      0.000 
    2034.376342 [0002]  migration/2[26]                     0.000      0.004      0.013 
    2034.376709 [0001]  <idle>                              0.000      0.000      0.617 
    2034.376787 [0003]  perf[14679]                         0.000      0.000      0.000 
    2034.377886 [0001]  sleep[14680]                        0.000      0.075      1.177 
    2034.380708 [0002]  <idle>                              0.000      0.000      4.366 
    2034.380714 [0002]  rcu_preempt[17]                     0.000      0.007      0.005 
    2034.388697 [0002]  <idle>                              0.005      0.000      7.982 
    2034.388701 [0002]  rcu_preempt[17]                     7.982      0.006      0.004 
    2034.396756 [0001]  <idle>                              1.177      0.000     18.869 
    2034.396933 [0001]  kubelet[1868/1862]                  0.000      0.007      0.176 
    2034.396941 [0001]  kubelet[1863/1862]                  0.000      0.157      0.008 
    2034.396959 [0001]  kubelet[1866/1862]                  0.000      0.126      0.017 
    2034.396972 [0001]  kubelet[1868/1862]                  0.026      0.009      0.013 
    2034.397015 [0001]  <idle>                              0.216      0.000      0.042 
    2034.397020 [0001]  kubelet[1863/1862]                  0.073      0.004      0.005 
    2034.439020 [0001]  <idle>                              0.005      0.000     41.999 
    2034.439026 [0001]  kubelet[1868/1862]                 42.047      0.003      0.005 
    2034.439955 [0001]  <idle>                              0.005      0.000      0.929 
    2034.439959 [0001]  kubelet[1863/1862]                 42.935      0.003      0.004 
    2034.440034 [0001]  <idle>                              0.004      0.000      0.074 
    2034.440038 [0001]  kubelet[1863/1862]                  0.074      0.005      0.004 
    2034.440047 [0001]  kubelet[1868/1862]                  1.012      0.007      0.009 
    2034.440054 [0001]  kubelet[1866/1862]                 43.088      0.003      0.006 
    2034.440131 [0001]  kubelet[1868/1862]                  0.006      0.000      0.077 
    2034.440139 [0001]  kubelet[1863/1862]                  0.093      0.023      0.007 
    2034.449470 [0000]  <idle>                              0.000      0.000     73.642 
    2034.449570 [0000]  gnome-shell[1240]                   0.000      0.008      0.100 
    2034.460108 [0001]  <idle>                              0.105      0.000     19.969 
    2034.460115 [0001]  kubelet[1866/1862]                 20.054      0.004      0.006 
    2034.461029 [0001]  <idle>                              0.006      0.000      0.914 
    2034.461034 [0001]  kubelet[1863/1862]                 20.890      0.003      0.004 
    2034.461106 [0001]  <idle>                              0.004      0.000      0.072 
    2034.461110 [0001]  kubelet[1863/1862]                  0.072      0.003      0.003 
    2034.461168 [0001]  <idle>                              0.003      0.000      0.058 
    2034.461209 [0001]  kubelet[1866/1862]                  1.053      0.005      0.040 
    2034.461214 [0001]  kubelet[1863/1862]                  0.099      0.044      0.004 
    2034.461221 [0001]  kubelet[1868/1862]                 21.082      0.041      0.007 
    2034.461287 [0001]  <idle>                              0.052      0.000      0.065 
    2034.461291 [0001]  kubelet[1863/1862]                  0.072      0.003      0.004 
    2034.539289 [0001]  <idle>                              0.004      0.000     77.998 
    2034.539295 [0001]  kubelet[1866/1862]                 78.079      0.003      0.005 
    2034.540181 [0001]  <idle>                              0.005      0.000      0.885 
    2034.540185 [0001]  kubelet[1863/1862]                 78.889      0.003      0.004 
    2034.540257 [0001]  <idle>                              0.004      0.000      0.072 
    2034.540261 [0001]  kubelet[1863/1862]                  0.072      0.003      0.003 
    2034.540335 [0001]  <idle>                              0.003      0.000      0.074 
    2034.540339 [0001]  kubelet[1863/1862]                  0.074      0.005      0.003 
