           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
    2143.433835 [0003]  <idle>                              0.007      0.000      0.013 
    2143.433841 [0003]  containerd[1044/1006]               0.074      0.007      0.005 
    2143.433848 [0003]  containerd[1047/1006]               0.018      0.010      0.007 
    2143.433871 [0003]  <idle>                              0.013      0.000      0.022 
    2143.433876 [0001]  containerd[1127/1006]               0.021      0.000      0.112 
    2143.433886 [0001]  <idle>                              0.615      0.000      0.009 
    2143.433894 [0001]  containerd[1101/1006]               0.121      0.007      0.008 
    2143.433909 [0003]  kubelet[1871/1862]                  0.086      0.004      0.037 
    2143.433921 [0003]  kubelet[1877/1862]                  0.136      0.004      0.012 
    2143.433928 [0003]  containerd[1044/1006]               0.080      0.009      0.007 
    2143.433979 [0003]  kubelet[1871/1862]                  0.019      0.000      0.051 
    2143.433988 [0001]  <idle>                              0.008      0.000      0.093 
    2143.434000 [0003]  kubelet[1877/1862]                  0.058      0.005      0.020 
    2143.434007 [0001]  kubelet[1868/1862]                  0.554      0.004      0.018 
    2143.434052 [0001]  containerd[1101/1006]               0.112      0.016      0.045 
    2143.434067 [0001]  containerd[1127/1006]               0.175      0.023      0.015 
    2143.434082 [0001]  containerd[1101/1006]               0.015      0.007      0.014 
    2143.434158 [0001]  <idle>                              0.093      0.000      0.076 
    2143.434170 [0001]  kubelet[1868/1862]                  0.151      0.005      0.011 
    2143.434193 [0001]  <idle>                              0.011      0.000      0.022 
    2143.434197 [0003]  kubelet[1871/1862]                  0.020      0.000      0.196 
    2143.434209 [0003]  containerd[1044/1006]               0.268      0.183      0.012 
    2143.434236 [0003]  kubelet[1877/1862]                  0.209      0.191      0.027 
    2143.434240 [0001]  containerd[1101/1006]               0.111      0.005      0.046 
    2143.434248 [0001]  kubelet[1868/1862]                  0.069      0.020      0.008 
    2143.434258 [0001]  containerd[1127/1006]               0.181      0.013      0.009 
    2143.434281 [0003]  <idle>                              0.365      0.000      0.045 
    2143.434290 [0003]  containerd[1044/1006]               0.072      0.005      0.008 
    2143.434295 [0003]  <idle>                              0.008      0.000      0.004 
    2143.434309 [0002]  <idle>                              0.007      0.000     11.846 
    2143.434330 [0003]  containerd[1047/1006]               0.446      0.007      0.035 
    2143.434332 [0002]  containerd[1100/1006]               0.000      0.007      0.023 
    2143.434345 [0001]  containerd[1101/1006]               0.018      0.000      0.086 
    2143.434351 [0001]  containerd[1127/1006]               0.086      0.007      0.006 
    2143.434365 [0001]  kubelet[1868/1862]                  0.102      0.005      0.013 
    2143.434371 [0003]  kubelet[1877/1862]                  0.093      0.011      0.041 
    2143.434383 [0003]  containerd[1044/1006]               0.081      0.014      0.011 
    2143.434452 [0003]  <idle>                              0.088      0.000      0.069 
    2143.434459 [0003]  containerd[1044/1006]               0.069      0.005      0.006 
    2143.434491 [0003]  <idle>                              0.006      0.000      0.032 
    2143.434498 [0003]  containerd[1047/1006]               0.161      0.005      0.006 
    2143.434532 [0003]  <idle>                              0.006      0.000      0.034 
    2143.434537 [0003]  containerd[1044/1006]               0.073      0.006      0.004 
    2143.434543 [0003]  containerd[1047/1006]               0.038      0.008      0.006 
    2143.434548 [0001]  containerd[1101/1006]               0.020      0.000      0.183 
    2143.434591 [0003]  <idle>                              0.011      0.000      0.047 
    2143.434632 [0001]  kubelet[1868/1862]                  0.183      0.013      0.083 
    2143.434681 [0001]  containerd[1127/1006]               0.280      0.000      0.049 
    2143.434688 [0001]  containerd[1101/1006]               0.132      0.039      0.006 
    2143.434703 [0001]  kubelet[1868/1862]                  0.056      0.037      0.015 
    2143.434712 [0001]  containerd[1127/1006]               0.021      0.006      0.009 
    2143.434740 [0001]  kubelet[1868/1862]                  0.009      0.000      0.028 
    2143.434750 [0001]  kubelet[1871/1862]                  0.543      0.143      0.009 
    2143.434785 [0003]  kubelet[1877/1862]                  0.219      0.004      0.194 
    2143.434799 [0003]  containerd[1044/1006]               0.248      0.179      0.013 
    2143.438021 [0003]  <idle>                              0.207      0.000      3.222 
    2143.438030 [0003]  kubelet[1863/1862]                 10.057      0.006      0.008 
    2143.443519 [0001]  <idle>                              0.556      0.000      8.769 
    2143.443612 [0001]  gnome-shell[1240]                 100.099      0.006      0.092 
    2143.444782 [0001]  <idle>                              0.092      0.000      1.170 
    2143.444795 [0001]  kubelet[1868/1862]                 10.041      0.006      0.012 
    2143.445122 [0003]  <idle>                              0.008      0.000      7.092 
    2143.445128 [0003]  kubelet[1863/1862]                  7.092      0.004      0.005 
    2143.445847 [0001]  <idle>                              0.012      0.000      1.052 
    2143.445859 [0003]  <idle>                              0.005      0.000      0.731 
    2143.445868 [0003]  kubelet[1877/1862]                 11.073      0.005      0.008 
    2143.445903 [0001]  kubelet[1868/1862]                  1.052      0.005      0.055 
    2143.449148 [0000]  <idle>                              0.005      0.000    228.000 
    2143.449155 [0000]  kcompactd0[47]                      0.000      0.007      0.006 
    2143.451397 [0001]  <idle>                              0.055      0.000      5.493 
    2143.451444 [0001]  gmain[1263/1240]                    0.000      0.005      0.047 
    2143.455181 [0003]  <idle>                              0.008      0.000      9.313 
    2143.455186 [0003]  kubelet[1863/1862]                 10.053      0.004      0.004 
    2143.489772 [0001]  <idle>                              0.047      0.000     38.328 
    2143.489788 [0003]  <idle>                              0.004      0.000     34.602 
    2143.489817 [0003]  containerd[1044/1006]              54.989      0.004      0.029 
    2143.489826 [0001]  containerd[1127/1006]              55.059      0.005      0.053 
    2143.489826 [0003]  containerd[1101/1006]              55.129      0.032      0.008 
    2143.489878 [0003]  <idle>                              0.037      0.000      0.052 
    2143.489883 [0003]  containerd[1044/1006]               0.060      0.004      0.004 
    2143.513153 [0002]  <idle>                              0.023      0.000     78.820 
    2143.513169 [0002]  kworker/2:3-eve[617]                0.000      0.008      0.016 
    2143.513269 [0002]  <idle>                              0.016      0.000      0.100 
    2143.513281 [0002]  kworker/2:3-eve[617]                0.100      0.003      0.011 
    2143.513383 [0002]  <idle>                              0.011      0.000      0.101 
    2143.513393 [0002]  kworker/2:3-eve[617]                0.101      0.003      0.010 
    2143.518947 [0003]  <idle>                              0.004      0.000     29.064 
    2143.518963 [0001]  <idle>                              0.053      0.000     29.137 
    2143.518986 [0001]  kubelet[1868/1862]                 73.059      0.006      0.023 
    2143.518995 [0001]  kubelet[1863/1862]                 63.800      0.043      0.008 
    2143.519319 [0001]  <idle>                              0.032      0.000      0.324 
    2143.519327 [0001]  kubelet[1868/1862]                  0.333      0.006      0.007 
    2143.519417 [0001]  <idle>                              0.007      0.000      0.089 
    2143.519424 [0001]  kubelet[1868/1862]                  0.089      0.004      0.006 
    2143.519763 [0003]  kubelet[1877/1862]                 73.079      0.006      0.816 
    2143.521154 [0000]  <idle>                              0.006      0.000     71.999 
    2143.521159 [0000]  rcu_preempt[17]                   300.006      0.005      0.004 
    2143.527478 [0001]  <idle>                              0.006      0.000      8.053 
    2143.527484 [0001]  kubelet[1868/1862]                  8.053      0.004      0.006 
    2143.528536 [0001]  <idle>                              0.006      0.000      1.051 
    2143.528548 [0003]  <idle>                              0.816      0.000      8.784 
    2143.528557 [0003]  kubelet[1877/1862]                  8.784      0.005      0.009 
    2143.528585 [0001]  kubelet[1868/1862]                  1.051      0.003      0.048 
    2143.529045 [0001]  <idle>                              0.048      0.000      0.460 
    2143.529051 [0001]  kubelet[1863/1862]                 10.050      0.003      0.005 
    2143.529145 [0000]  <idle>                              0.004      0.000      7.985 
    2143.529149 [0000]  rcu_preempt[17]                     7.985      0.004      0.004 
    2143.543708 [0001]  <idle>                              0.005      0.000     14.657 
    2143.543779 [0001]  gnome-shell[1240]                 100.095      0.004      0.071 
    2143.545609 [0003]  <idle>                              0.009      0.000     17.052 
    2143.545616 [0003]  kubelet[1877/1862]                 17.052      0.004      0.006 
    2143.545954 [0001]  <idle>                              0.071      0.000      2.175 
    2143.545963 [0001]  kubelet[1863/1862]                 16.903      0.005      0.008 
    2143.546669 [0003]  <idle>                              0.006      0.000      1.052 
    2143.546680 [0001]  <idle>                              0.008      0.000      0.717 
    2143.546689 [0001]  kubelet[1868/1862]                 18.095      0.006      0.008 
    2143.546713 [0003]  kubelet[1877/1862]                  1.052      0.004      0.044 
    2143.556016 [0001]  <idle>                              0.008      0.000      9.326 
    2143.556021 [0001]  kubelet[1863/1862]                 10.052      0.004      0.005 
    2143.577153 [0001]  <idle>                              0.005      0.000     21.132 
    2143.577164 [0001]  kworker/1:2-eve[13974]              0.000      0.010      0.010 
    2143.622644 [0002]  <idle>                              0.010      0.000    109.251 
    2143.622724 [0002]  NetworkManager[859]                 0.000      0.007      0.079 
    2143.624821 [0001]  <idle>                              0.010      0.000     47.657 
    2143.624840 [0001]  kube-proxy[2078/2000]               0.000      0.007      0.018 
    2143.624909 [0001]  <idle>                              0.018      0.000      0.069 
    2143.624915 [0001]  kube-proxy[2078/2000]               0.069      0.005      0.005 
    2143.624987 [0001]  <idle>                              0.005      0.000      0.072 
    2143.624991 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.004 
    2143.625063 [0001]  <idle>                              0.004      0.000      0.071 
    2143.625067 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.004 
    2143.625140 [0001]  <idle>                              0.004      0.000      0.072 
    2143.625144 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.004 
    2143.625216 [0001]  <idle>                              0.004      0.000      0.071 
    2143.625220 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.004 
    2143.625292 [0001]  <idle>                              0.004      0.000      0.071 
    2143.625296 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.625368 [0001]  <idle>                              0.003      0.000      0.072 
    2143.625371 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.003 
    2143.625443 [0001]  <idle>                              0.003      0.000      0.071 
    2143.625447 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.625519 [0001]  <idle>                              0.003      0.000      0.071 
    2143.625523 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.625595 [0001]  <idle>                              0.003      0.000      0.071 
    2143.625599 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.625671 [0001]  <idle>                              0.003      0.000      0.072 
    2143.625675 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.004 
    2143.625747 [0001]  <idle>                              0.004      0.000      0.071 
    2143.625751 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.625823 [0001]  <idle>                              0.003      0.000      0.071 
    2143.625827 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.625898 [0001]  <idle>                              0.003      0.000      0.071 
    2143.625902 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.625975 [0001]  <idle>                              0.003      0.000      0.072 
    2143.625979 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.004 
    2143.626051 [0001]  <idle>                              0.004      0.000      0.071 
    2143.626055 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.626126 [0001]  <idle>                              0.003      0.000      0.071 
    2143.626130 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.004 
    2143.626202 [0001]  <idle>                              0.004      0.000      0.071 
    2143.626206 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.626278 [0001]  <idle>                              0.003      0.000      0.072 
    2143.626282 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.003 
    2143.626354 [0001]  <idle>                              0.003      0.000      0.071 
    2143.626358 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.626429 [0001]  <idle>                              0.003      0.000      0.071 
    2143.626433 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.626506 [0001]  <idle>                              0.003      0.000      0.072 
    2143.626510 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.003 
    2143.626581 [0001]  <idle>                              0.003      0.000      0.071 
    2143.626585 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.626657 [0001]  <idle>                              0.003      0.000      0.071 
    2143.626661 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.626733 [0001]  <idle>                              0.003      0.000      0.072 
    2143.626737 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.004 
    2143.626809 [0001]  <idle>                              0.004      0.000      0.071 
    2143.626813 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.626885 [0001]  <idle>                              0.003      0.000      0.072 
    2143.626889 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.003 
    2143.626961 [0001]  <idle>                              0.003      0.000      0.071 
    2143.626965 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.004 
    2143.627038 [0001]  <idle>                              0.004      0.000      0.072 
    2143.627042 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.004 
    2143.627114 [0001]  <idle>                              0.004      0.000      0.071 
    2143.627118 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.627190 [0001]  <idle>                              0.003      0.000      0.072 
    2143.627194 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.003 
    2143.627265 [0001]  <idle>                              0.003      0.000      0.071 
    2143.627269 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.627341 [0001]  <idle>                              0.003      0.000      0.072 
    2143.627345 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.003 
    2143.627417 [0001]  <idle>                              0.003      0.000      0.071 
    2143.627421 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.004 
    2143.627493 [0001]  <idle>                              0.004      0.000      0.071 
    2143.627497 [0001]  kube-proxy[2078/2000]               0.071      0.003      0.003 
    2143.627569 [0001]  <idle>                              0.003      0.000      0.072 
    2143.627573 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.003 
    2143.627645 [0001]  <idle>                              0.003      0.000      0.072 
    2143.627649 [0001]  kube-proxy[2078/2000]               0.072      0.003      0.003 
    2143.627724 [0001]  <idle>                              0.003      0.000      0.075 
