           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
    2143.197156 [0000]  perf[15593]                         0.000      0.000      0.000 
    2143.197170 [0000]  migration/0[18]                     0.000      0.004      0.014 
    2143.197417 [0001]  perf[15593]                         0.000      0.000      0.000 
    2143.197433 [0001]  migration/1[21]                     0.000      0.004      0.015 
    2143.197671 [0002]  perf[15593]                         0.000      0.000      0.000 
    2143.197681 [0002]  migration/2[26]                     0.000      0.003      0.010 
    2143.198018 [0000]  <idle>                              0.000      0.000      0.848 
    2143.198133 [0003]  perf[15593]                         0.000      0.000      0.000 
    2143.198150 [0003]  kswapd0[61]                         0.000      0.128      0.016 
    2143.198177 [0000]  perf-exec[15594]                    0.000      0.007      0.159 
    2143.210963 [0000]  <idle>                              0.159      0.000     12.786 
    2143.210981 [0000]  kworker/0:1H-mm[5557]               0.000      0.005      0.018 
    2143.212056 [0000]  sleep[15594]                       12.804      0.011      1.074 
    2143.213154 [0000]  <idle>                              1.092      0.000      1.097 
    2143.213160 [0000]  rcu_preempt[17]                     0.000      0.005      0.006 
    2143.216289 [0003]  <idle>                              0.000      0.000     18.139 
    2143.216312 [0003]  kubelet[1871/1862]                  0.000      0.006      0.023 
    2143.217119 [0003]  <idle>                              0.023      0.000      0.806 
    2143.217129 [0003]  kubelet[1863/1862]                  0.000      0.005      0.009 
    2143.217360 [0003]  <idle>                              0.009      0.000      0.230 
    2143.217380 [0001]  <idle>                              0.000      0.000     19.947 
    2143.217383 [0003]  kubelet[1871/1862]                  1.047      0.003      0.023 
    2143.217394 [0001]  kubelet[1868/1862]                  0.000      0.009      0.014 
    2143.221142 [0000]  <idle>                              0.006      0.000      7.982 
    2143.221148 [0000]  rcu_preempt[17]                     7.982      0.004      0.005 
    2143.223435 [0003]  <idle>                              0.023      0.000      6.051 
    2143.223448 [0001]  <idle>                              0.014      0.000      6.053 
    2143.223451 [0003]  kubelet[1871/1862]                  6.051      0.003      0.015 
    2143.223461 [0003]  <idle>                              0.015      0.000      0.010 
    2143.223461 [0001]  kubelet[1868/1862]                  6.053      0.006      0.013 
    2143.223471 [0003]  kubelet[1871/1862]                  0.010      0.005      0.010 
    2143.226523 [0003]  <idle>                              0.010      0.000      3.052 
    2143.226529 [0003]  kubelet[1871/1862]                  3.052      0.003      0.005 
    2143.227180 [0003]  <idle>                              0.005      0.000      0.650 
    2143.227184 [0003]  kubelet[1863/1862]                 10.050      0.002      0.004 
    2143.227581 [0003]  <idle>                              0.004      0.000      0.396 
    2143.227590 [0001]  <idle>                              0.013      0.000      4.128 
    2143.227598 [0001]  kubelet[1868/1862]                  4.128      0.004      0.008 
    2143.227641 [0003]  kubelet[1871/1862]                  1.052      0.003      0.060 
    2143.237239 [0003]  <idle>                              0.060      0.000      9.597 
    2143.237244 [0003]  kubelet[1863/1862]                 10.055      0.004      0.004 
    2143.243160 [0001]  <idle>                              0.008      0.000     15.561 
    2143.243230 [0001]  gnome-shell[1240]                   0.000      0.004      0.070 
    2143.243653 [0001]  <idle>                              0.070      0.000      0.422 
    2143.243666 [0001]  kubelet[1868/1862]                 16.054      0.005      0.013 
    2143.244279 [0003]  <idle>                              0.004      0.000      7.035 
    2143.244283 [0003]  kubelet[1863/1862]                  7.035      0.003      0.004 
    2143.244717 [0001]  <idle>                              0.013      0.000      1.051 
    2143.244729 [0003]  <idle>                              0.004      0.000      0.445 
    2143.244736 [0003]  kubelet[1871/1862]                 17.087      0.004      0.006 
    2143.244768 [0001]  kubelet[1868/1862]                  1.051      0.005      0.050 
    2143.254337 [0003]  <idle>                              0.006      0.000      9.600 
    2143.254341 [0003]  kubelet[1863/1862]                 10.053      0.003      0.004 
    2143.301149 [0003]  <idle>                              0.004      0.000     46.808 
    2143.301153 [0003]  kswapd0[61]                       102.999      0.008      0.004 
    2143.326820 [0003]  <idle>                              0.004      0.000     25.666 
    2143.326827 [0003]  kubelet[1871/1862]                 82.084      0.003      0.006 
    2143.327689 [0003]  <idle>                              0.006      0.000      0.862 
    2143.327694 [0003]  kubelet[1863/1862]                 73.348      0.003      0.004 
    2143.327879 [0003]  <idle>                              0.004      0.000      0.184 
    2143.327889 [0001]  <idle>                              0.050      0.000     83.120 
    2143.327896 [0001]  kubelet[1868/1862]                 83.120      0.005      0.006 
    2143.327909 [0003]  kubelet[1871/1862]                  1.051      0.003      0.030 
    2143.328732 [0001]  <idle>                              0.006      0.000      0.835 
    2143.328758 [0001]  containerd[1127/1006]               0.000      0.003      0.026 
    2143.329128 [0001]  <idle>                              0.026      0.000      0.369 
    2143.329138 [0001]  containerd[1044/1006]               0.000      0.005      0.010 
    2143.329154 [0001]  <idle>                              0.010      0.000      0.016 
    2143.329425 [0001]  kworker/u10:0-w[15500]              0.000      0.007      0.270 
    2143.329436 [0001]  containerd[1044/1006]               0.286      0.010      0.011 
    2143.329505 [0001]  <idle>                              0.281      0.000      0.068 
    2143.329509 [0001]  containerd[1044/1006]               0.068      0.003      0.004 
    2143.329581 [0001]  <idle>                              0.004      0.000      0.071 
    2143.329585 [0001]  containerd[1044/1006]               0.071      0.002      0.004 
    2143.329657 [0001]  <idle>                              0.004      0.000      0.072 
    2143.329661 [0001]  containerd[1044/1006]               0.072      0.003      0.004 
    2143.329732 [0001]  <idle>                              0.004      0.000      0.071 
    2143.329736 [0001]  containerd[1044/1006]               0.071      0.002      0.003 
    2143.329807 [0001]  <idle>                              0.003      0.000      0.071 
    2143.332554 [0001]  containerd[1127/1006]               1.049      0.005      2.746 
    2143.332565 [0001]  containerd[1044/1006]               2.818      2.750      0.010 
    2143.332581 [0001]  containerd[1047/1006]               0.000      2.739      0.016 
    2143.332639 [0001]  <idle>                              2.773      0.000      0.058 
    2143.332644 [0001]  containerd[1044/1006]               0.074      0.005      0.005 
    2143.337749 [0003]  <idle>                              0.030      0.000      9.839 
    2143.337755 [0003]  kubelet[1863/1862]                 10.055      0.005      0.005 
    2143.343327 [0001]  <idle>                              0.005      0.000     10.683 
    2143.343420 [0001]  gnome-shell[1240]                 100.097      0.004      0.092 
    2143.343951 [0001]  <idle>                              0.092      0.000      0.531 
    2143.343967 [0001]  kubelet[1868/1862]                 16.055      0.005      0.016 
    2143.344817 [0003]  <idle>                              0.005      0.000      7.061 
    2143.344821 [0003]  kubelet[1863/1862]                  7.061      0.003      0.004 
    2143.345018 [0001]  <idle>                              0.016      0.000      1.050 
    2143.345031 [0003]  <idle>                              0.004      0.000      0.209 
    2143.345038 [0003]  kubelet[1871/1862]                 17.121      0.005      0.007 
    2143.345072 [0001]  kubelet[1868/1862]                  1.050      0.005      0.054 
    2143.354874 [0003]  <idle>                              0.007      0.000      9.836 
    2143.354879 [0003]  kubelet[1863/1862]                 10.052      0.003      0.004 
    2143.419802 [0002]  <idle>                              0.000      0.000    222.120 
    2143.419835 [0001]  <idle>                              0.054      0.000     74.763 
    2143.419858 [0002]  containerd-shim[13434/3070]         0.000      0.006      0.055 
    2143.419868 [0001]  containerd-shim[3076/3070]          0.000      0.007      0.033 
    2143.419871 [0002]  containerd-shim[3071/3070]          0.000      0.067      0.013 
    2143.419929 [0001]  <idle>                              0.033      0.000      0.060 
    2143.419945 [0002]  containerd-shim[13434/3070]         0.013      0.000      0.073 
    2143.419950 [0002]  containerd-shim[3071/3070]          0.073      0.005      0.004 
    2143.420022 [0002]  containerd-shim[13434/3070]         0.004      0.000      0.072 
    2143.420027 [0002]  containerd-shim[3071/3070]          0.072      0.004      0.004 
    2143.420100 [0002]  containerd-shim[13434/3070]         0.004      0.000      0.072 
    2143.420104 [0002]  containerd-shim[3071/3070]          0.072      0.003      0.004 
    2143.420177 [0002]  containerd-shim[13434/3070]         0.004      0.000      0.072 
    2143.420181 [0002]  containerd-shim[3071/3070]          0.072      0.003      0.004 
    2143.420253 [0002]  containerd-shim[13434/3070]         0.004      0.000      0.072 
    2143.420258 [0002]  containerd-shim[3071/3070]          0.072      0.003      0.004 
    2143.420330 [0002]  containerd-shim[13434/3070]         0.004      0.000      0.072 
    2143.420335 [0002]  containerd-shim[3071/3070]          0.072      0.003      0.004 
    2143.420407 [0002]  containerd-shim[13434/3070]         0.004      0.000      0.072 
    2143.420411 [0002]  containerd-shim[3071/3070]          0.072      0.003      0.004 
    2143.420485 [0002]  containerd-shim[13434/3070]         0.004      0.000      0.073 
    2143.420490 [0002]  containerd-shim[3071/3070]          0.073      0.004      0.004 
    2143.420563 [0002]  containerd-shim[13434/3070]         0.004      0.000      0.073 
    2143.420567 [0002]  containerd-shim[3071/3070]          0.073      0.004      0.004 
    2143.420986 [0002]  containerd-shim[13434/3070]         0.004      0.000      0.419 
    2143.420994 [0001]  containerd-shim[3076/3070]          0.060      0.005      1.064 
    2143.420998 [0002]  containerd-shim[3071/3070]          0.419      0.350      0.011 
    2143.421008 [0002]  <idle>                              1.195      0.000      0.009 
    2143.421008 [0001]  containerd-shim[3078/3070]          0.000      1.057      0.014 
    2143.421067 [0001]  <idle>                              1.079      0.000      0.058 
    2143.421087 [0002]  containerd-shim[13434/3070]         0.021      0.007      0.079 
    2143.421092 [0002]  containerd-shim[3071/3070]          0.088      0.023      0.005 
    2143.421100 [0001]  containerd-shim[3078/3070]          0.058      0.007      0.032 
    2143.421136 [0001]  <idle>                              0.032      0.000      0.036 
    2143.421137 [0002]  containerd-shim[13434/3070]         0.005      0.000      0.044 
    2143.421148 [0002]  <idle>                              0.129      0.000      0.011 
    2143.421153 [0002]  containerd-shim[3071/3070]          0.056      0.006      0.004 
    2143.421156 [0002]  <idle>                              0.004      0.000      0.003 
    2143.421177 [0001]  containerd-shim[3078/3070]          0.036      0.004      0.040 
    2143.421284 [0002]  containerd-shim[13434/3070]         0.019      0.005      0.128 
    2143.421294 [0002]  containerd-shim[3071/3070]          0.131      0.062      0.009 
    2143.421330 [0002]  containerd-shim[13434/3070]         0.009      0.006      0.036 
    2143.421338 [0001]  containerd-shim[3241/3070]          0.000      0.022      0.160 
    2143.421343 [0001]  containerd-shim[3078/3070]          0.160      0.118      0.005 
    2143.421359 [0001]  containerd-shim[3076/3070]          0.349      0.024      0.016 
    2143.421368 [0002]  <idle>                              0.174      0.000      0.037 
    2143.421373 [0002]  containerd-shim[3071/3070]          0.073      0.004      0.005 
    2143.422303 [0002]  <idle>                              0.005      0.000      0.929 
    2143.422307 [0002]  containerd-shim[3071/3070]          0.929      0.004      0.004 
    2143.422379 [0002]  <idle>                              0.004      0.000      0.072 
    2143.422383 [0002]  containerd-shim[3071/3070]          0.072      0.003      0.003 
    2143.422409 [0001]  <idle>                              0.223      0.000      1.049 
    2143.422419 [0001]  containerd-shim[3076/3070]          1.049      0.004      0.009 
    2143.422425 [0001]  containerd-shim[3078/3070]          1.075      0.004      0.006 
    2143.422430 [0001]  containerd-shim[3076/3070]          0.006      0.000      0.005 
    2143.422437 [0001]  containerd-shim[3078/3070]          0.005      0.003      0.006 
    2143.422442 [0001]  containerd-shim[3076/3070]          0.006      0.000      0.005 
    2143.422449 [0001]  containerd-shim[3078/3070]          0.005      0.003      0.006 
    2143.422455 [0002]  <idle>                              0.003      0.000      0.072 
    2143.422457 [0001]  containerd-shim[3076/3070]          0.006      0.000      0.008 
    2143.422462 [0002]  containerd-shim[3071/3070]          0.072      0.003      0.007 
    2143.422465 [0001]  containerd-shim[3078/3070]          0.008      0.003      0.007 
    2143.422471 [0001]  containerd-shim[3076/3070]          0.007      0.000      0.006 
    2143.427124 [0003]  <idle>                              0.004      0.000     72.245 
    2143.427131 [0003]  kubelet[1871/1862]                 82.086      0.004      0.006 
    2143.427959 [0003]  <idle>                              0.006      0.000      0.828 
    2143.427964 [0003]  kubelet[1863/1862]                 73.080      0.003      0.004 
    2143.428182 [0003]  <idle>                              0.004      0.000      0.218 
    2143.428192 [0001]  <idle>                              0.061      0.000      5.721 
    2143.428208 [0001]  kubelet[1868/1862]                 83.120      0.005      0.016 
    2143.428220 [0003]  kubelet[1871/1862]                  1.051      0.003      0.037 
    2143.433260 [0001]  <idle>                              0.016      0.000      5.052 
    2143.433273 [0003]  <idle>                              0.037      0.000      5.053 
    2143.433280 [0003]  kubelet[1871/1862]                  5.053      0.004      0.006 
    2143.433434 [0001]  kubelet[1868/1862]                  5.052      0.005      0.173 
    2143.433470 [0003]  <idle>                              0.006      0.000      0.189 
    2143.433488 [0003]  kubelet[1871/1862]                  0.189      0.004      0.018 
    2143.433505 [0003]  kubelet[1877/1862]                  0.000      0.120      0.016 
    2143.433523 [0003]  containerd[1044/1006]             100.860      0.051      0.018 
    2143.433592 [0003]  <idle>                              0.053      0.000      0.068 
    2143.433606 [0003]  containerd[1044/1006]               0.068      0.005      0.013 
    2143.433628 [0001]  containerd[1127/1006]             100.879      0.010      0.194 
    2143.433647 [0001]  containerd[1101/1006]               0.000      0.009      0.019 
    2143.433659 [0003]  containerd[1047/1006]             101.025      0.085      0.052 
    2143.433675 [0003]  kubelet[1871/1862]                  0.170      0.006      0.016 
    2143.433689 [0003]  containerd[1047/1006]               0.016      0.000      0.014 
    2143.433705 [0001]  containerd[1127/1006]               0.019      0.000      0.057 
    2143.433713 [0001]  containerd[1101/1006]               0.057      0.006      0.008 
    2143.433742 [0001]  containerd[1127/1006]               0.008      0.000      0.029 
    2143.433747 [0003]  kubelet[1871/1862]                  0.014      0.000      0.057 
    2143.433760 [0003]  containerd[1044/1006]               0.141      0.078      0.013 
    2143.433764 [0001]  containerd[1101/1006]               0.029      0.005      0.021 
    2143.433772 [0003]  kubelet[1877/1862]                  0.255      0.046      0.011 
    2143.433784 [0003]  kubelet[1871/1862]                  0.025      0.022      0.012 
    2143.433814 [0003]  <idle>                              0.191      0.000      0.030 
    2143.433822 [0003]  containerd[1047/1006]               0.125      0.006      0.007 
