           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
    2252.136078 [0000]  perf[16484]                         0.000      0.000      0.000 
    2252.136095 [0000]  migration/0[18]                     0.000      0.004      0.016 
    2252.136339 [0001]  perf[16484]                         0.000      0.000      0.000 
    2252.136354 [0001]  migration/1[21]                     0.000      0.005      0.015 
    2252.136593 [0002]  perf[16484]                         0.000      0.000      0.000 
    2252.136609 [0002]  migration/2[26]                     0.000      0.004      0.015 
    2252.136880 [0000]  <idle>                              0.000      0.000      0.784 
    2252.136979 [0003]  perf[16484]                         0.000      0.000      0.000 
    2252.137036 [0000]  perf-exec[16485]                    0.000      0.007      0.156 
    2252.137713 [0000]  <idle>                              0.156      0.000      0.677 
    2252.137730 [0000]  kworker/0:1H-mm[5557]               0.000      0.005      0.017 
    2252.138854 [0000]  sleep[16485]                        0.694      0.010      1.123 
    2252.141623 [0000]  <idle>                              1.141      0.000      2.768 
    2252.141629 [0000]  rcu_preempt[17]                     0.000      0.005      0.005 
    2252.149610 [0000]  <idle>                              0.005      0.000      7.981 
    2252.149615 [0000]  rcu_preempt[17]                     7.981      0.005      0.005 
    2252.153798 [0003]  <idle>                              0.000      0.000     16.818 
    2252.153899 [0003]  gnome-shell[1240]                   0.000      0.007      0.100 
    2252.157437 [0002]  <idle>                              0.000      0.000     20.828 
    2252.157453 [0002]  kubelet[1868/1862]                  0.000      0.006      0.015 
    2252.158324 [0001]  <idle>                              0.000      0.000     21.970 
    2252.158335 [0001]  kubelet[1863/1862]                  0.000      0.005      0.010 
    2252.158503 [0002]  <idle>                              0.015      0.000      1.050 
    2252.158515 [0001]  <idle>                              0.010      0.000      0.179 
    2252.158524 [0001]  kubelet[1878/1862]                  0.000      0.005      0.009 
    2252.158555 [0002]  kubelet[1868/1862]                  1.050      0.004      0.052 
    2252.160946 [0001]  <idle>                              0.009      0.000      2.421 
    2252.160951 [0001]  kubelet[1863/1862]                  2.610      0.003      0.004 
    2252.223591 [0001]  <idle>                              0.004      0.000     62.640 
    2252.223597 [0001]  kubelet[1878/1862]                 65.066      0.003      0.006 
    2252.223934 [0001]  <idle>                              0.006      0.000      0.336 
    2252.223939 [0001]  kubelet[1863/1862]                 62.983      0.003      0.004 
    2252.224649 [0001]  <idle>                              0.004      0.000      0.710 
    2252.224662 [0002]  <idle>                              0.052      0.000     66.106 
    2252.224690 [0002]  kubelet[1868/1862]                 66.106      0.005      0.028 
    2252.224696 [0001]  kubelet[1878/1862]                  1.051      0.003      0.046 
    2252.224699 [0002]  kubelet[1875/1862]                  0.000      0.022      0.008 
    2252.229112 [0001]  <idle>                              0.046      0.000      4.416 
    2252.229117 [0001]  kubelet[1863/1862]                  5.173      0.004      0.004 
    2252.253997 [0003]  <idle>                              0.100      0.000    100.098 
    2252.254030 [0003]  gnome-shell[1240]                 100.098      0.006      0.033 
    2252.257733 [0002]  <idle>                              0.037      0.000     33.034 
    2252.257739 [0002]  kubelet[1868/1862]                 33.042      0.004      0.006 
    2252.258602 [0001]  <idle>                              0.004      0.000     29.485 
    2252.258607 [0001]  kubelet[1863/1862]                 29.485      0.003      0.004 
    2252.258791 [0002]  <idle>                              0.006      0.000      1.051 
    2252.258828 [0002]  kubelet[1868/1862]                  1.051      0.003      0.037 
    2252.258842 [0002]  kubelet[1875/1862]                 34.129      0.031      0.014 
    2252.258854 [0002]  kubelet[1868/1862]                  0.014      0.007      0.012 
    2252.268660 [0001]  <idle>                              0.004      0.000     10.053 
    2252.268664 [0001]  kubelet[1863/1862]                 10.053      0.003      0.004 
    2252.323921 [0002]  <idle>                              0.063      0.000     65.066 
    2252.323927 [0002]  kubelet[1868/1862]                 65.066      0.004      0.006 
    2252.324743 [0001]  <idle>                              0.004      0.000     56.078 
    2252.324747 [0001]  kubelet[1863/1862]                 56.078      0.004      0.004 
    2252.324979 [0002]  <idle>                              0.006      0.000      1.052 
    2252.324987 [0002]  kubelet[1868/1862]                  1.052      0.003      0.007 
    2252.324993 [0002]  kubelet[1875/1862]                 66.144      0.003      0.006 
    2252.325027 [0002]  kubelet[1868/1862]                  0.006      0.000      0.033 
    2252.329483 [0000]  <idle>                              0.005      0.000    179.867 
    2252.329508 [0000]  containerd[1101/1006]               0.000      0.004      0.024 
    2252.329593 [0002]  <idle>                              0.048      0.000      4.566 
    2252.329606 [0002]  containerd[1044/1006]               0.000      0.004      0.013 
    2252.329677 [0002]  <idle>                              0.013      0.000      0.070 
    2252.329683 [0002]  containerd[1044/1006]               0.070      0.004      0.005 
    2252.329755 [0002]  <idle>                              0.005      0.000      0.072 
    2252.329759 [0002]  containerd[1044/1006]               0.072      0.003      0.004 
    2252.329831 [0002]  <idle>                              0.004      0.000      0.072 
    2252.329835 [0002]  containerd[1044/1006]               0.072      0.003      0.003 
    2252.329907 [0002]  <idle>                              0.003      0.000      0.071 
    2252.329911 [0002]  containerd[1044/1006]               0.071      0.003      0.003 
    2252.329983 [0002]  <idle>                              0.003      0.000      0.072 
    2252.329987 [0002]  containerd[1044/1006]               0.072      0.003      0.003 
    2252.330058 [0002]  <idle>                              0.003      0.000      0.071 
    2252.330062 [0002]  containerd[1044/1006]               0.071      0.003      0.003 
    2252.330135 [0002]  <idle>                              0.003      0.000      0.072 
    2252.330139 [0002]  containerd[1044/1006]               0.072      0.003      0.003 
    2252.330210 [0002]  <idle>                              0.003      0.000      0.071 
    2252.330214 [0002]  containerd[1044/1006]               0.071      0.003      0.003 
    2252.330286 [0002]  <idle>                              0.003      0.000      0.071 
    2252.330290 [0002]  containerd[1044/1006]               0.071      0.003      0.003 
    2252.330362 [0002]  <idle>                              0.003      0.000      0.071 
    2252.330366 [0002]  containerd[1044/1006]               0.071      0.003      0.003 
    2252.330438 [0002]  <idle>                              0.003      0.000      0.072 
    2252.330442 [0002]  containerd[1044/1006]               0.072      0.003      0.003 
    2252.330514 [0002]  <idle>                              0.003      0.000      0.071 
    2252.330517 [0002]  containerd[1044/1006]               0.071      0.003      0.003 
    2252.330558 [0000]  <idle>                              0.024      0.000      1.050 
    2252.330573 [0000]  containerd[1101/1006]               1.050      0.005      0.015 
