           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
    1925.901214 [0003]  containerd[1044/1006]               0.133      0.039      0.005 
    1925.901224 [0002]  <idle>                              0.021      0.000      0.050 
    1925.901227 [0001]  kubelet[1875/1862]                  0.031      0.000      0.056 
    1925.901228 [0003]  containerd[1048/1006]               0.145      0.025      0.013 
    1925.901233 [0001]  kubelet[1871/1862]                  0.056      0.004      0.006 
    1925.901238 [0003]  containerd[1118/1006]               0.018      0.007      0.009 
    1925.901241 [0003]  <idle>                              0.071      0.000      0.003 
    1925.901249 [0003]  containerd[1118/1006]               0.003      0.000      0.007 
    1925.901255 [0002]  kubelet[1866/1862]                  0.050      0.005      0.031 
    1925.901287 [0003]  <idle>                              0.007      0.000      0.037 
    1925.901292 [0003]  containerd[1044/1006]               0.072      0.003      0.005 
    1925.901344 [0002]  <idle>                              0.031      0.000      0.088 
    1925.901349 [0002]  kubelet[1866/1862]                  0.088      0.005      0.005 
    1925.901374 [0003]  <idle>                              0.005      0.000      0.081 
    1925.901378 [0001]  kubelet[1875/1862]                  0.006      0.000      0.144 
    1925.901390 [0001]  <idle>                              0.983      0.000      0.011 
    1925.901404 [0001]  kubelet[1871/1862]                  0.156      0.007      0.014 
    1925.901405 [0002]  <idle>                              0.005      0.000      0.055 
    1925.901412 [0002]  kubelet[1866/1862]                  0.055      0.003      0.007 
    1925.901416 [0003]  containerd[1118/1006]               0.124      0.004      0.042 
    1925.901424 [0003]  containerd[1048/1006]               0.187      0.004      0.007 
    1925.901429 [0003]  containerd[1044/1006]               0.131      0.046      0.004 
    1925.901457 [0001]  <idle>                              0.014      0.000      0.052 
    1925.901493 [0001]  containerd[1101/1006]               0.387      0.004      0.036 
    1925.901504 [0003]  containerd[1118/1006]               0.012      0.000      0.075 
    1925.901513 [0003]  containerd[1044/1006]               0.075      0.005      0.009 
    1925.901519 [0002]  <idle>                              0.007      0.000      0.106 
    1925.901521 [0003]  containerd[1048/1006]               0.089      0.009      0.008 
    1925.901536 [0002]  kubelet[1866/1862]                  0.106      0.004      0.016 
    1925.901540 [0003]  containerd[1118/1006]               0.017      0.000      0.019 
    1925.901543 [0001]  kubelet[1871/1862]                  0.089      0.011      0.050 
    1925.901552 [0002]  containerd[1115/1006]               0.640      0.070      0.016 
    1925.901553 [0001]  kubelet[1875/1862]                  0.165      0.017      0.009 
    1925.901557 [0002]  <idle>                              0.032      0.000      0.004 
    1925.901559 [0003]  containerd[1048/1006]               0.019      0.005      0.018 
    1925.901569 [0002]  kubelet[1866/1862]                  0.020      0.010      0.012 
    1925.901586 [0003]  containerd[1118/1006]               0.018      0.000      0.027 
    1925.901591 [0003]  containerd[1044/1006]               0.073      0.004      0.004 
    1925.901729 [0002]  <idle>                              0.012      0.000      0.159 
    1925.901732 [0003]  containerd[1118/1006]               0.004      0.000      0.141 
    1925.901738 [0003]  containerd[1044/1006]               0.141      0.072      0.006 
    1925.901749 [0003]  containerd[1048/1006]               0.179      0.063      0.010 
    1925.901764 [0001]  <idle>                              0.096      0.000      0.210 
    1925.901796 [0002]  kubelet[1866/1862]                  0.159      0.005      0.067 
    1925.901813 [0003]  <idle>                              0.375      0.000      0.063 
    1925.901821 [0003]  containerd[1044/1006]               0.074      0.005      0.007 
    1925.901825 [0003]  <idle>                              0.007      0.000      0.004 
    1925.901834 [0003]  containerd[1048/1006]               0.076      0.005      0.008 
    1925.901838 [0003]  <idle>                              0.008      0.000      0.003 
    1925.901844 [0003]  containerd[1118/1006]               0.105      0.004      0.006 
    1925.901847 [0002]  containerd[1115/1006]               0.244      0.059      0.051 
    1925.901861 [0003]  <idle>                              0.006      0.000      0.016 
    1925.901869 [0003]  containerd[1048/1006]               0.026      0.004      0.008 
    1925.901876 [0002]  kubelet[1866/1862]                  0.051      0.040      0.028 
    1925.901890 [0003]  <idle>                              0.008      0.000      0.020 
    1925.901897 [0003]  containerd[1044/1006]               0.069      0.003      0.006 
    1925.901932 [0001]  kubelet[1875/1862]                  0.210      0.006      0.168 
    1925.901943 [0001]  kubelet[1871/1862]                  0.388      0.163      0.011 
    1925.901968 [0001]  <idle>                              0.179      0.000      0.025 
    1925.901976 [0001]  kubelet[1863/1862]                 10.056      0.006      0.007 
    1925.953928 [0002]  <idle>                              0.147      0.000     52.051 
    1925.953935 [0002]  kubelet[1866/1862]                 52.051      0.005      0.007 
    1925.954221 [0001]  <idle>                              0.007      0.000     52.245 
    1925.954227 [0001]  kubelet[1863/1862]                 52.245      0.004      0.005 
    1925.954987 [0002]  <idle>                              0.007      0.000      1.051 
    1925.954999 [0001]  <idle>                              0.005      0.000      0.772 
    1925.955007 [0001]  kubelet[1871/1862]                 53.056      0.004      0.007 
    1925.955042 [0002]  kubelet[1866/1862]                  1.051      0.003      0.055 
    1925.964280 [0001]  <idle>                              0.007      0.000      9.273 
    1925.964285 [0001]  kubelet[1863/1862]                 10.053      0.003      0.004 
    1925.970144 [0002]  <idle>                              0.055      0.000     15.102 
    1925.970211 [0002]  gnome-shell[1240]                 100.098      0.005      0.066 
    1925.992059 [0001]  <idle>                              0.004      0.000     27.774 
    1925.992066 [0001]  kubelet[1871/1862]                 37.052      0.003      0.006 
    1925.992334 [0001]  <idle>                              0.006      0.000      0.267 
    1925.992338 [0001]  kubelet[1863/1862]                 28.049      0.003      0.004 
    1925.993118 [0001]  <idle>                              0.004      0.000      0.779 
    1925.993133 [0002]  <idle>                              0.066      0.000     22.922 
    1925.993145 [0002]  kubelet[1866/1862]                 38.090      0.007      0.012 
    1925.993162 [0001]  kubelet[1871/1862]                  1.052      0.003      0.043 
    1925.997358 [0000]  <idle>                              0.003      0.000    168.668 
    1925.997397 [0000]  gmain[792/775]                      0.000      0.005      0.039 
    1926.001008 [0001]  <idle>                              0.043      0.000      7.846 
    1926.001061 [0001]  gmain[835/766]                      0.000      0.005      0.052 
    1926.002393 [0001]  <idle>                              0.052      0.000      1.331 
    1926.002400 [0001]  kubelet[1863/1862]                 10.054      0.004      0.007 
    1926.004701 [0000]  <idle>                              0.039      0.000      7.303 
    1926.004706 [0000]  rcu_preempt[17]                   176.010      0.007      0.005 
    1926.012693 [0000]  <idle>                              0.005      0.000      7.987 
    1926.012698 [0000]  rcu_preempt[17]                     7.987      0.007      0.004 
    1926.054210 [0002]  <idle>                              0.012      0.000     61.065 
    1926.054217 [0002]  kubelet[1866/1862]                 61.065      0.005      0.006 
    1926.055092 [0001]  <idle>                              0.007      0.000     52.692 
    1926.055098 [0001]  kubelet[1863/1862]                 52.692      0.004      0.005 
    1926.055269 [0002]  <idle>                              0.006      0.000      1.051 
    1926.055280 [0001]  <idle>                              0.005      0.000      0.182 
    1926.055288 [0001]  kubelet[1871/1862]                 62.118      0.004      0.008 
    1926.055308 [0002]  kubelet[1866/1862]                  1.051      0.003      0.038 
    1926.065150 [0001]  <idle>                              0.008      0.000      9.862 
    1926.065154 [0001]  kubelet[1863/1862]                 10.052      0.003      0.004 
    1926.070307 [0002]  <idle>                              0.038      0.000     14.999 
    1926.070344 [0002]  gnome-shell[1240]                 100.096      0.004      0.037 
    1926.092341 [0001]  <idle>                              0.004      0.000     27.186 
    1926.092347 [0001]  kubelet[1871/1862]                 37.052      0.003      0.006 
    1926.093211 [0001]  <idle>                              0.006      0.000      0.863 
    1926.093215 [0001]  kubelet[1863/1862]                 28.056      0.003      0.004 
    1926.093399 [0001]  <idle>                              0.004      0.000      0.184 
    1926.093411 [0002]  <idle>                              0.037      0.000     23.066 
    1926.093424 [0002]  kubelet[1866/1862]                 38.103      0.006      0.012 
    1926.093435 [0001]  kubelet[1871/1862]                  1.052      0.003      0.035 
    1926.094475 [0002]  <idle>                              0.012      0.000      1.051 
    1926.094482 [0002]  kubelet[1866/1862]                  1.051      0.005      0.007 
    1926.095534 [0002]  <idle>                              0.007      0.000      1.051 
    1926.095548 [0001]  <idle>                              0.035      0.000      2.112 
    1926.095554 [0001]  kubelet[1871/1862]                  2.112      0.005      0.006 
    1926.095868 [0001]  <idle>                              0.006      0.000      0.313 
    1926.095876 [0001]  kubelet[1871/1862]                  0.313      0.004      0.008 
    1926.095910 [0002]  kubelet[1866/1862]                  1.051      0.003      0.375 
    1926.096698 [0000]  <idle>                              0.004      0.000     84.000 
    1926.096702 [0000]  rcu_preempt[17]                    84.000      0.004      0.003 
    1926.103268 [0001]  <idle>                              0.008      0.000      7.391 
    1926.103273 [0001]  kubelet[1863/1862]                 10.053      0.004      0.004 
    1926.104692 [0000]  <idle>                              0.003      0.000      7.990 
