           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
    2306.507197 [0000]  perf[16937]                         0.000      0.000      0.000 
    2306.507222 [0000]  migration/0[18]                     0.000      0.005      0.025 
    2306.507466 [0001]  perf[16937]                         0.000      0.000      0.000 
    2306.507484 [0001]  migration/1[21]                     0.000      0.005      0.017 
    2306.507725 [0002]  perf[16937]                         0.000      0.000      0.000 
    2306.507742 [0002]  migration/2[26]                     0.000      0.004      0.016 
    2306.508047 [0002]  <idle>                              0.000      0.000      0.304 
    2306.508161 [0003]  perf[16937]                         0.000      0.000      0.000 
    2306.508198 [0002]  perf-exec[16938]                    0.000      0.008      0.151 
    2306.509935 [0000]  <idle>                              0.000      0.000      2.712 
    2306.509951 [0002]  <idle>                              0.151      0.000      1.752 
    2306.509952 [0000]  kworker/0:1H-mm[5557]               0.000      0.005      0.017 
    2306.511053 [0002]  sleep[16938]                        1.752      0.008      1.101 
    2306.513834 [0001]  <idle>                              0.000      0.000      6.349 
    2306.513840 [0001]  rcu_preempt[17]                     0.000      0.008      0.006 
    2306.521820 [0002]  <idle>                              1.101      0.000     10.766 
    2306.521825 [0001]  <idle>                              0.006      0.000      7.985 
    2306.521828 [0003]  <idle>                              0.000      0.000     13.667 
    2306.521837 [0002]  kworker/2:3-eve[617]                0.000      0.008      0.017 
    2306.521838 [0003]  kworker/3:0H-kb[34]                 0.000      0.014      0.010 
    2306.521838 [0001]  kworker/1:1-eve[16667]              0.000      0.012      0.012 
    2306.521842 [0002]  rcu_preempt[17]                     7.997      0.022      0.005 
    2306.523269 [0003]  <idle>                              0.010      0.000      1.430 
    2306.523291 [0003]  kubelet[1878/1862]                  0.000      0.004      0.022 
    2306.524196 [0002]  <idle>                              0.022      0.000      2.354 
    2306.524211 [0002]  kubelet[1863/1862]                  0.000      0.003      0.014 
    2306.524341 [0003]  <idle>                              0.022      0.000      1.049 
    2306.524357 [0002]  <idle>                              0.014      0.000      0.145 
    2306.524371 [0002]  kubelet[1866/1862]                  0.000      0.006      0.014 
    2306.524411 [0003]  kubelet[1878/1862]                  1.049      0.005      0.069 
    2306.529811 [0002]  <idle>                              0.014      0.000      5.439 
    2306.529816 [0002]  rcu_preempt[17]                     7.968      0.002      0.005 
    2306.534261 [0002]  <idle>                              0.005      0.000      4.445 
    2306.534268 [0002]  kubelet[1863/1862]                 10.049      0.004      0.006 
    2306.569423 [0002]  <idle>                              0.006      0.000     35.155 
    2306.569430 [0002]  kubelet[1866/1862]                 45.051      0.004      0.006 
    2306.570291 [0002]  <idle>                              0.006      0.000      0.861 
    2306.570295 [0002]  kubelet[1863/1862]                 36.023      0.003      0.004 
    2306.570482 [0002]  <idle>                              0.004      0.000      0.186 
    2306.570495 [0003]  <idle>                              0.069      0.000     46.084 
    2306.570503 [0003]  kubelet[1878/1862]                 46.084      0.006      0.007 
    2306.570549 [0002]  kubelet[1866/1862]                  1.052      0.003      0.067 
    2306.572775 [0003]  <idle>                              0.007      0.000      2.272 
    2306.572856 [0003]  gnome-shell[1240]                   0.000      0.004      0.080 
    2306.580350 [0002]  <idle>                              0.067      0.000      9.800 
    2306.580355 [0002]  kubelet[1863/1862]                 10.054      0.004      0.005 
    2306.623562 [0003]  <idle>                              0.080      0.000     50.705 
    2306.623574 [0003]  kubelet[1878/1862]                 53.059      0.005      0.012 
    2306.624457 [0002]  <idle>                              0.005      0.000     44.102 
    2306.624462 [0002]  kubelet[1863/1862]                 44.102      0.004      0.004 
    2306.624626 [0003]  <idle>                              0.012      0.000      1.051 
    2306.624636 [0002]  <idle>                              0.004      0.000      0.174 
    2306.624643 [0002]  kubelet[1866/1862]                 54.087      0.004      0.006 
    2306.624663 [0003]  kubelet[1878/1862]                  1.051      0.005      0.037 
    2306.634515 [0002]  <idle>                              0.006      0.000      9.871 
    2306.634519 [0002]  kubelet[1863/1862]                 10.053      0.003      0.004 
    2306.669695 [0002]  <idle>                              0.004      0.000     35.175 
    2306.669701 [0002]  kubelet[1866/1862]                 45.052      0.003      0.006 
    2306.670596 [0002]  <idle>                              0.006      0.000      0.895 
    2306.670601 [0002]  kubelet[1863/1862]                 36.077      0.003      0.004 
    2306.670753 [0002]  <idle>                              0.004      0.000      0.152 
    2306.670763 [0003]  <idle>                              0.037      0.000     46.099 
    2306.670770 [0003]  kubelet[1878/1862]                 46.099      0.005      0.007 
    2306.670783 [0002]  kubelet[1866/1862]                  1.051      0.003      0.029 
    2306.672951 [0003]  <idle>                              0.007      0.000      2.181 
    2306.672987 [0003]  gnome-shell[1240]                 100.095      0.004      0.036 
    2306.680654 [0002]  <idle>                              0.029      0.000      9.871 
    2306.680658 [0002]  kubelet[1863/1862]                 10.053      0.003      0.004 
    2306.703451 [0001]  <idle>                              0.012      0.000    181.612 
    2306.703468 [0001]  containerd[1044/1006]               0.000      0.007      0.017 
    2306.703492 [0002]  <idle>                              0.004      0.000     22.833 
    2306.703518 [0002]  containerd[1100/1006]               0.000      0.005      0.025 
    2306.703552 [0000]  <idle>                              0.017      0.000    193.600 
    2306.703575 [0003]  <idle>                              0.036      0.000     30.587 
    2306.703656 [0000]  containerd[1047/1006]               0.000      0.007      0.103 
    2306.703658 [0003]  containerd[1116/1006]               0.000      0.009      0.082 
    2306.703674 [0003]  containerd[1048/1006]               0.000      0.064      0.016 
    2306.703987 [0003]  <idle>                              0.099      0.000      0.312 
