           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
    2088.731279 [0000]  perf[15133]                         0.000      0.000      0.000 
    2088.731297 [0000]  migration/0[18]                     0.000      0.004      0.018 
    2088.731541 [0001]  perf[15133]                         0.000      0.000      0.000 
    2088.731556 [0001]  migration/1[21]                     0.000      0.004      0.015 
    2088.731790 [0002]  perf[15133]                         0.000      0.000      0.000 
    2088.731801 [0002]  migration/2[26]                     0.000      0.003      0.011 
    2088.732101 [0001]  <idle>                              0.000      0.000      0.545 
    2088.732204 [0003]  perf[15133]                         0.000      0.000      0.000 
    2088.732615 [0000]  <idle>                              0.000      0.000      1.318 
    2088.732629 [0000]  kubelet[1863/1862]                  0.000      0.007      0.013 
    2088.732897 [0000]  <idle>                              0.013      0.000      0.268 
    2088.732904 [0000]  rcu_preempt[17]                     0.000      0.005      0.006 
    2088.733312 [0001]  sleep[15134]                        0.000      0.008      1.210 
    2088.740883 [0000]  <idle>                              0.006      0.000      7.978 
    2088.740889 [0000]  rcu_preempt[17]                     7.978      0.010      0.005 
    2088.748876 [0000]  <idle>                              0.005      0.000      7.987 
    2088.748879 [0000]  rcu_preempt[17]                     7.987      0.006      0.003 
    2088.767028 [0000]  <idle>                              0.003      0.000     18.148 
    2088.767103 [0000]  gnome-shell[1240]                   0.000      0.004      0.074 
    2088.809034 [0001]  <idle>                              1.210      0.000     75.722 
    2088.809056 [0001]  kubelet[1871/1862]                  0.000      0.006      0.021 
    2088.809826 [0000]  <idle>                              0.074      0.000     42.723 
    2088.809837 [0000]  kubelet[1863/1862]                 77.197      0.005      0.010 
    2088.810106 [0001]  <idle>                              0.021      0.000      1.050 
    2088.810125 [0000]  <idle>                              0.010      0.000      0.288 
    2088.810137 [0000]  kubelet[1866/1862]                  0.000      0.006      0.012 
    2088.810180 [0001]  kubelet[1871/1862]                  1.050      0.005      0.074 
    2088.819190 [0000]  <idle>                              0.012      0.000      9.052 
    2088.819196 [0000]  kubelet[1866/1862]                  9.052      0.003      0.006 
    2088.819887 [0000]  <idle>                              0.006      0.000      0.690 
    2088.819892 [0000]  kubelet[1863/1862]                 10.049      0.003      0.005 
    2088.820092 [0000]  <idle>                              0.005      0.000      0.200 
    2088.820096 [0000]  kubelet[1863/1862]                  0.200      0.003      0.003 
    2088.820248 [0000]  <idle>                              0.003      0.000      0.151 
    2088.820265 [0001]  <idle>                              0.074      0.000     10.084 
    2088.820554 [0001]  kubelet[1871/1862]                 10.084      0.005      0.289 
    2088.820566 [0001]  kubelet[1877/1862]                  0.000      0.283      0.011 
    2088.821799 [0001]  <idle>                              0.301      0.000      1.232 
    2088.821805 [0001]  kubelet[1877/1862]                  1.232      0.006      0.006 
    2088.821860 [0001]  <idle>                              0.006      0.000      0.055 
    2088.821873 [0001]  kubelet[1877/1862]                  0.055      0.003      0.012 
    2088.821879 [0000]  kubelet[1866/1862]                  1.051      0.003      1.631 
    2088.821979 [0002]  <idle>                              0.000      0.000     90.178 
    2088.822016 [0002]  containerd[1048/1006]               0.000      0.008      0.036 
    2088.822032 [0002]  containerd[1044/1006]               0.000      0.117      0.016 
    2088.822057 [0002]  kubelet[1871/1862]                  1.478      0.121      0.024 
    2088.822119 [0002]  containerd[1126/1006]               0.000      0.045      0.061 
    2088.822138 [0002]  kubelet[1871/1862]                  0.061      0.013      0.019 
    2088.822146 [0002]  containerd[1044/1006]               0.106      0.044      0.007 
    2088.822156 [0002]  containerd[1048/1006]               0.130      0.013      0.009 
    2088.822181 [0000]  <idle>                              1.631      0.000      0.302 
    2088.822203 [0001]  containerd[1101/1006]               0.000      0.015      0.330 
    2088.822203 [0000]  kubelet[1866/1862]                  0.302      0.008      0.022 
    2088.822207 [0002]  kubelet[1871/1862]                  0.017      0.000      0.051 
    2088.822218 [0001]  kubelet[1877/1862]                  0.330      0.013      0.014 
    2088.822224 [0000]  containerd[1127/1006]               0.000      0.136      0.020 
    2088.822230 [0000]  <idle>                              0.043      0.000      0.005 
    2088.822239 [0002]  containerd[1048/1006]               0.051      0.009      0.032 
    2088.822243 [0000]  kubelet[1866/1862]                  0.026      0.007      0.013 
    2088.822245 [0002]  containerd[1044/1006]               0.093      0.024      0.005 
    2088.822268 [0002]  <idle>                              0.265      0.000      0.022 
    2088.822274 [0002]  containerd[1048/1006]               0.028      0.006      0.005 
    2088.822320 [0002]  <idle>                              0.005      0.000      0.046 
    2088.822325 [0002]  containerd[1044/1006]               0.074      0.006      0.005 
    2088.822326 [0000]  <idle>                              0.013      0.000      0.082 
    2088.822335 [0002]  containerd[1048/1006]               0.051      0.009      0.009 
    2088.822335 [0001]  containerd[1101/1006]               0.014      0.000      0.117 
    2088.822371 [0001]  <idle>                              0.474      0.000      0.035 
    2088.822385 [0002]  <idle>                              0.014      0.000      0.050 
    2088.822403 [0002]  kubelet[1871/1862]                  0.178      0.004      0.017 
    2088.822418 [0002]  containerd[1044/1006]               0.077      0.007      0.015 
    2088.822420 [0000]  kubelet[1866/1862]                  0.082      0.004      0.093 
    2088.822430 [0002]  kubelet[1864/1862]                  0.000      0.016      0.012 
    2088.822435 [0002]  <idle>                              0.045      0.000      0.004 
    2088.822444 [0002]  containerd[1044/1006]               0.017      0.005      0.009 
    2088.822455 [0002]  kubelet[1871/1862]                  0.041      0.010      0.011 
    2088.822464 [0002]  containerd[1048/1006]               0.120      0.009      0.008 
    2088.822468 [0002]  <idle>                              0.029      0.000      0.003 
    2088.822474 [0000]  containerd[1127/1006]               0.195      0.084      0.054 
    2088.822492 [0002]  kubelet[1871/1862]                  0.012      0.006      0.023 
    2088.822504 [0002]  containerd[1048/1006]               0.027      0.016      0.012 
    2088.822516 [0002]  <idle>                              0.036      0.000      0.012 
    2088.822521 [0002]  containerd[1044/1006]               0.072      0.003      0.005 
    2088.822548 [0002]  <idle>                              0.005      0.000      0.026 
    2088.822555 [0002]  kubelet[1864/1862]                  0.117      0.004      0.007 
    2088.822581 [0002]  <idle>                              0.007      0.000      0.025 
    2088.822585 [0001]  kubelet[1877/1862]                  0.153      0.007      0.214 
    2088.822612 [0002]  containerd[1048/1006]               0.076      0.005      0.031 
    2088.822623 [0002]  kubelet[1871/1862]                  0.120      0.019      0.010 
    2088.822628 [0002]  kubelet[1864/1862]                  0.067      0.016      0.005 
    2088.822635 [0002]  containerd[1044/1006]               0.106      0.041      0.006 
    2088.822665 [0000]  <idle>                              0.147      0.000      0.191 
    2088.822675 [0000]  containerd[1127/1006]               0.191      0.006      0.009 
    2088.822689 [0001]  <idle>                              0.214      0.000      0.103 
    2088.822733 [0001]  containerd[1101/1006]               0.353      0.006      0.043 
    2088.822742 [0001]  containerd[1126/1006]               0.613      0.035      0.009 
    2088.822892 [0001]  <idle>                              0.053      0.000      0.150 
    2088.822899 [0001]  containerd[1126/1006]               0.150      0.006      0.007 
    2088.822935 [0002]  containerd[1048/1006]               0.022      0.000      0.300 
    2088.822953 [0000]  <idle>                              0.009      0.000      0.277 
    2088.822954 [0001]  <idle>                              0.007      0.000      0.054 
    2088.822966 [0001]  containerd[1126/1006]               0.054      0.004      0.012 
    2088.822966 [0000]  containerd[1127/1006]               0.277      0.005      0.013 
    2088.823266 [0001]  <idle>                              0.012      0.000      0.300 
    2088.823274 [0002]  kubelet[1871/1862]                  0.312      0.223      0.339 
    2088.823288 [0000]  <idle>                              0.013      0.000      0.321 
    2088.823290 [0002]  containerd[1044/1006]               0.639      0.569      0.015 
    2088.823298 [0000]  containerd[1127/1006]               0.321      0.004      0.009 
    2088.823302 [0001]  containerd[1126/1006]               0.300      0.005      0.035 
    2088.823306 [0002]  kubelet[1864/1862]                  0.661      0.329      0.015 
    2088.823319 [0000]  <idle>                              0.009      0.000      0.020 
    2088.823327 [0000]  containerd[1127/1006]               0.020      0.004      0.008 
    2088.823330 [0002]  kubelet[1871/1862]                  0.031      0.000      0.024 
    2088.823363 [0002]  <idle>                              0.749      0.000      0.032 
    2088.823371 [0002]  containerd[1044/1006]               0.073      0.005      0.008 
    2088.830152 [0000]  <idle>                              0.008      0.000      6.824 
    2088.830162 [0000]  kubelet[1863/1862]                 10.055      0.004      0.010 
    2088.867202 [0000]  <idle>                              0.010      0.000     37.040 
    2088.867291 [0000]  gnome-shell[1240]                 100.098      0.006      0.089 
    2088.909421 [0002]  <idle>                              0.008      0.000     86.049 
