           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
    2197.674445 [0000]  perf[16044]                         0.000      0.000      0.000 
    2197.674462 [0000]  migration/0[18]                     0.000      0.004      0.017 
    2197.674707 [0001]  perf[16044]                         0.000      0.000      0.000 
    2197.674724 [0001]  migration/1[21]                     0.000      0.004      0.016 
    2197.674963 [0002]  perf[16044]                         0.000      0.000      0.000 
    2197.674977 [0002]  migration/2[26]                     0.000      0.004      0.014 
    2197.675247 [0000]  <idle>                              0.000      0.000      0.785 
    2197.675356 [0003]  perf[16044]                         0.000      0.000      0.000 
    2197.675413 [0000]  perf-exec[16045]                    0.000      0.008      0.165 
    2197.675608 [0001]  <idle>                              0.000      0.000      0.883 
    2197.675663 [0001]  gnome-shell[1240]                   0.000      0.006      0.055 
    2197.677847 [0000]  <idle>                              0.165      0.000      2.433 
    2197.677864 [0000]  kworker/0:1H-mm[5557]               0.000      0.005      0.017 
    2197.678988 [0000]  sleep[16045]                        2.451      0.011      1.123 
    2197.681399 [0000]  <idle>                              1.140      0.000      2.410 
    2197.681406 [0000]  rcu_preempt[17]                     0.000      0.005      0.007 
    2197.689389 [0000]  <idle>                              0.007      0.000      7.982 
    2197.689394 [0000]  rcu_preempt[17]                     7.982      0.005      0.005 
    2197.723356 [0000]  <idle>                              0.005      0.000     33.962 
    2197.723376 [0000]  kubelet[1871/1862]                  0.000      0.004      0.019 
    2197.723714 [0000]  <idle>                              0.019      0.000      0.338 
    2197.723723 [0000]  kubelet[1863/1862]                  0.000      0.005      0.008 
    2197.724425 [0000]  <idle>                              0.008      0.000      0.702 
    2197.724449 [0000]  kubelet[1871/1862]                  1.048      0.003      0.023 
    2197.724459 [0000]  kubelet[1875/1862]                  0.000      0.013      0.010 
    2197.731501 [0000]  <idle>                              0.034      0.000      7.041 
    2197.731507 [0000]  kubelet[1871/1862]                  7.052      0.003      0.005 
    2197.732559 [0000]  <idle>                              0.005      0.000      1.052 
    2197.732622 [0000]  kubelet[1871/1862]                  1.052      0.003      0.062 
    2197.732630 [0000]  kubelet[1875/1862]                  8.162      0.057      0.007 
    2197.733673 [0000]  <idle>                              0.070      0.000      1.043 
    2197.733679 [0000]  kubelet[1871/1862]                  1.051      0.003      0.005 
    2197.733774 [0000]  <idle>                              0.005      0.000      0.094 
    2197.733779 [0000]  kubelet[1863/1862]                 10.051      0.003      0.005 
    2197.734314 [0000]  <idle>                              0.005      0.000      0.535 
    2197.734318 [0000]  kubelet[1863/1862]                  0.535      0.003      0.004 
    2197.734731 [0000]  <idle>                              0.004      0.000      0.412 
    2197.734773 [0000]  kubelet[1871/1862]                  1.052      0.003      0.041 
    2197.734786 [0000]  kubelet[1875/1862]                  2.143      0.036      0.013 
    2197.734797 [0000]  kubelet[1871/1862]                  0.013      0.007      0.011 
    2197.744372 [0000]  <idle>                              0.065      0.000      9.574 
    2197.744377 [0000]  kubelet[1863/1862]                 10.053      0.003      0.004 
    2197.752122 [0000]  <idle>                              0.004      0.000      7.745 
    2197.752144 [0000]  containerd[1118/1006]               0.000      0.003      0.021 
    2197.752584 [0000]  <idle>                              0.021      0.000      0.440 
    2197.752592 [0000]  containerd[1044/1006]               0.000      0.005      0.008 
    2197.752663 [0000]  <idle>                              0.008      0.000      0.071 
    2197.752668 [0000]  containerd[1044/1006]               0.071      0.003      0.004 
    2197.752740 [0000]  <idle>                              0.004      0.000      0.072 
    2197.752744 [0000]  containerd[1044/1006]               0.072      0.002      0.003 
    2197.752816 [0000]  <idle>                              0.003      0.000      0.071 
    2197.752819 [0000]  containerd[1044/1006]               0.071      0.002      0.003 
    2197.752891 [0000]  <idle>                              0.003      0.000      0.071 
    2197.752895 [0000]  containerd[1044/1006]               0.071      0.003      0.003 
    2197.752967 [0000]  <idle>                              0.003      0.000      0.071 
    2197.752971 [0000]  containerd[1044/1006]               0.071      0.002      0.003 
    2197.753042 [0000]  <idle>                              0.003      0.000      0.071 
    2197.753046 [0000]  containerd[1044/1006]               0.071      0.002      0.003 
    2197.753118 [0000]  <idle>                              0.003      0.000      0.071 
    2197.753122 [0000]  containerd[1044/1006]               0.071      0.002      0.003 
    2197.753194 [0000]  <idle>                              0.003      0.000      0.072 
    2197.753214 [0003]  <idle>                              0.000      0.000     77.858 
    2197.753228 [0000]  containerd[1118/1006]               1.050      0.005      0.033 
    2197.753236 [0000]  containerd[1044/1006]               0.106      0.037      0.008 
    2197.753239 [0000]  <idle>                              0.041      0.000      0.003 
    2197.753248 [0003]  containerd[1127/1006]               0.000      0.009      0.033 
    2197.753249 [0000]  containerd[1118/1006]               0.011      0.006      0.010 
    2197.765848 [0000]  <idle>                              0.010      0.000     12.598 
    2197.765860 [0000]  kubelet[1871/1862]                 31.050      0.003      0.012 
    2197.766673 [0000]  <idle>                              0.012      0.000      0.812 
    2197.766679 [0000]  kubelet[1863/1862]                 22.296      0.005      0.005 
    2197.766910 [0000]  <idle>                              0.005      0.000      0.230 
    2197.766920 [0000]  kubelet[1871/1862]                  1.049      0.003      0.010 
    2197.766927 [0000]  kubelet[1875/1862]                 32.134      0.003      0.006 
    2197.766943 [0000]  kubelet[1871/1862]                  0.006      0.000      0.015 
    2197.775764 [0001]  <idle>                              0.055      0.000    100.100 
    2197.775797 [0001]  gnome-shell[1240]                 100.100      0.006      0.032 
    2197.776732 [0000]  <idle>                              0.033      0.000      9.789 
    2197.776737 [0000]  kubelet[1863/1862]                 10.052      0.003      0.004 
    2197.785398 [0002]  <idle>                              0.000      0.000    110.420 
    2197.785413 [0002]  kworker/2:2-eve[14258]              0.000      0.009      0.015 
    2197.785514 [0002]  <idle>                              0.015      0.000      0.100 
    2197.785527 [0002]  kworker/2:2-eve[14258]              0.100      0.003      0.012 
    2197.785628 [0002]  <idle>                              0.012      0.000      0.101 
    2197.785639 [0002]  kworker/2:2-eve[14258]              0.101      0.002      0.010 
    2197.819983 [0000]  <idle>                              0.004      0.000     43.246 
    2197.819989 [0000]  kubelet[1875/1862]                 53.056      0.003      0.005 
    2197.820653 [0000]  <idle>                              0.005      0.000      0.663 
    2197.820657 [0000]  kubelet[1863/1862]                 43.916      0.003      0.004 
    2197.821041 [0000]  <idle>                              0.004      0.000      0.383 
    2197.821073 [0000]  kubelet[1875/1862]                  1.051      0.003      0.031 
    2197.821080 [0000]  kubelet[1871/1862]                 54.129      0.025      0.007 
    2197.830710 [0000]  <idle>                              0.039      0.000      9.630 
    2197.830714 [0000]  kubelet[1863/1862]                 10.052      0.003      0.004 
    2197.832124 [0000]  <idle>                              0.004      0.000      1.409 
    2197.832130 [0000]  kubelet[1875/1862]                 11.051      0.003      0.005 
    2197.832669 [0000]  <idle>                              0.005      0.000      0.539 
    2197.832673 [0000]  kubelet[1863/1862]                  1.954      0.003      0.003 
    2197.833182 [0000]  <idle>                              0.003      0.000      0.508 
