           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
    2363.757215 [0000]  perf[17389]                         0.000      0.000      0.000 
    2363.757232 [0000]  migration/0[18]                     0.000      0.004      0.016 
    2363.757470 [0001]  perf[17389]                         0.000      0.000      0.000 
    2363.757481 [0001]  migration/1[21]                     0.000      0.003      0.010 
    2363.757723 [0002]  perf[17389]                         0.000      0.000      0.000 
    2363.757738 [0002]  migration/2[26]                     0.000      0.004      0.015 
    2363.758164 [0003]  perf[17389]                         0.000      0.000      0.000 
    2363.758306 [0003]  perf-exec[17410]                    0.000      0.114      0.141 
    2363.784238 [0000]  <idle>                              0.000      0.000     27.006 
    2363.784255 [0003]  <idle>                              0.000      0.000     25.949 
    2363.784256 [0000]  kworker/0:1H-mm[5557]               0.000      0.005      0.017 
    2363.785359 [0003]  sleep[17410]                       25.949      0.009      1.103 
    2363.786025 [0002]  <idle>                              0.000      0.000     28.286 
    2363.786032 [0002]  rcu_preempt[17]                     0.000      0.007      0.006 
    2363.790993 [0003]  <idle>                              1.103      0.000      5.633 
    2363.791013 [0003]  kubelet[1878/1862]                  0.000      0.005      0.019 
    2363.791643 [0001]  <idle>                              0.000      0.000     34.162 
    2363.791655 [0001]  kubelet[1863/1862]                  0.000      0.006      0.012 
    2363.792063 [0003]  <idle>                              0.019      0.000      1.049 
    2363.792078 [0000]  <idle>                              0.017      0.000      7.821 
    2363.792092 [0000]  kubelet[1866/1862]                  0.000      0.006      0.014 
    2363.792135 [0003]  kubelet[1878/1862]                  1.049      0.004      0.072 
    2363.794015 [0002]  <idle>                              0.006      0.000      7.982 
    2363.794020 [0002]  rcu_preempt[17]                     7.982      0.007      0.004 
    2363.801707 [0001]  <idle>                              0.012      0.000     10.052 
    2363.801713 [0001]  kubelet[1863/1862]                 10.052      0.005      0.005 
    2363.821145 [0000]  <idle>                              0.014      0.000     29.052 
    2363.821151 [0000]  kubelet[1866/1862]                 29.052      0.005      0.006 
    2363.821275 [0001]  <idle>                              0.005      0.000     19.561 
    2363.821279 [0001]  kubelet[1863/1862]                 19.561      0.004      0.004 
    2363.822204 [0000]  <idle>                              0.006      0.000      1.052 
    2363.822217 [0003]  <idle>                              0.072      0.000     30.082 
    2363.822225 [0003]  kubelet[1878/1862]                 30.082      0.006      0.007 
    2363.822237 [0000]  kubelet[1866/1862]                  1.052      0.003      0.033 
    2363.831333 [0001]  <idle>                              0.004      0.000     10.053 
    2363.831337 [0001]  kubelet[1863/1862]                 10.053      0.003      0.004 
    2363.842487 [0002]  <idle>                              0.004      0.000     48.467 
    2363.842541 [0002]  gnome-shell[1240]                   0.000      0.004      0.053 
    2363.846278 [0003]  <idle>                              0.007      0.000     24.053 
    2363.846285 [0003]  kubelet[1878/1862]                 24.053      0.004      0.006 
    2363.847024 [0001]  <idle>                              0.004      0.000     15.687 
    2363.847028 [0001]  kubelet[1863/1862]                 15.687      0.003      0.004 
    2363.847337 [0003]  <idle>                              0.006      0.000      1.052 
    2363.847347 [0000]  <idle>                              0.033      0.000     25.110 
    2363.847354 [0000]  kubelet[1866/1862]                 25.110      0.005      0.006 
    2363.847375 [0003]  kubelet[1878/1862]                  1.052      0.003      0.037 
    2363.857082 [0001]  <idle>                              0.004      0.000     10.053 
    2363.857086 [0001]  kubelet[1863/1862]                 10.053      0.003      0.004 
    2363.866017 [0001]  <idle>                              0.004      0.000      8.930 
    2363.866035 [0001]  kworker/1:2-eve[13974]              0.000      0.009      0.018 
    2363.872407 [0000]  <idle>                              0.006      0.000     25.053 
    2363.872414 [0000]  kubelet[1866/1862]                 25.053      0.004      0.006 
    2363.872837 [0001]  <idle>                              0.018      0.000      6.801 
    2363.872841 [0001]  kubelet[1863/1862]                 15.750      0.003      0.004 
    2363.873466 [0000]  <idle>                              0.006      0.000      1.051 
    2363.873477 [0003]  <idle>                              0.037      0.000     26.102 
    2363.873484 [0003]  kubelet[1878/1862]                 26.102      0.005      0.006 
    2363.873484 [0000]  kubelet[1866/1862]                  1.051      0.003      0.018 
    2363.882895 [0001]  <idle>                              0.004      0.000     10.053 
    2363.882899 [0001]  kubelet[1863/1862]                 10.053      0.003      0.004 
    2363.891537 [0003]  <idle>                              0.006      0.000     18.053 
    2363.891544 [0003]  kubelet[1878/1862]                 18.053      0.004      0.006 
    2363.892182 [0001]  <idle>                              0.004      0.000      9.283 
    2363.892187 [0001]  kubelet[1863/1862]                  9.283      0.003      0.004 
    2363.892596 [0003]  <idle>                              0.006      0.000      1.052 
    2363.892605 [0000]  <idle>                              0.018      0.000     19.120 
    2363.892611 [0000]  kubelet[1866/1862]                 19.120      0.004      0.006 
